"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5409","Login with invalid_user should failure","chromium","2026-04-15","passed","2026-04-15","","data-driven/login-data-driven.spec.ts","",""
"Verify that the employee table section is visible after navigation","21634","should display employee section @minor","firefox","2026-04-15","passed","2026-04-15","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"Verify validation error is displayed when submitting empty login form","4457","should display validation for empty fields @minor","chromium","2026-04-15","passed","2026-04-15","Login Tests @smoke","smoke/login.spec.ts","",""
"","10029","should display error message on invalid login","firefox","2026-04-15","passed","2026-04-15","Cross-Browser Login Tests","cross-browser/login-cross-browser.spec.ts","",""
"Verify error message is shown for invalid login","4659","should handle invalid credentials gracefully @major","chromium","2026-04-15","passed","2026-04-15","Login Tests @smoke","smoke/login.spec.ts","",""
"","10025","should login successfully in all browsers","webkit","2026-04-15","passed","2026-04-15","Cross-Browser Login Tests","cross-browser/login-cross-browser.spec.ts","",""
"","5542","should navigate to leave module","webkit","2026-04-15","passed","2026-04-15","Leave Management Tests with Page Objects","smoke/leave.spec.ts","",""
"Verify error message is shown for invalid login","5692","should handle invalid credentials gracefully @major","firefox","2026-04-15","passed","2026-04-15","Login Tests @smoke","smoke/login.spec.ts","",""
"","269","should verify Leave API endpoint","chromium","2026-04-15","passed","2026-04-15","Leave API Tests","api/employee-api.spec.ts","",""
"","10467","should be on leave section after login","firefox","2026-04-15","passed","2026-04-15","Leave Management Tests with Page Objects","smoke/leave.spec.ts","",""
"","282","should access leave requests endpoint","webkit","2026-04-15","passed","2026-04-15","Leave API Tests","api/employee-api.spec.ts","",""
"","2491","login page should load within threshold","performance","2026-04-15","passed","2026-04-15","Performance Tests","performance/performance.spec.ts","",""
"","2590","home page should load within threshold","performance","2026-04-15","passed","2026-04-15","Performance Tests","performance/performance.spec.ts","",""
"","3513","login page should have acceptable navigation timing","firefox","2026-04-15","passed","2026-04-15","Performance Tests","performance/performance.spec.ts","",""
"","2114","should handle invalid employee ID appropriately","firefox","2026-04-15","passed","2026-04-15","Employee API Tests","api/employee-api.spec.ts","",""
"Verify that an admin can navigate to the employee list","16842","should navigate to employee list @smoke @major","firefox","2026-04-15","passed","2026-04-15","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","259","leave API endpoint should respond within threshold","chromium","2026-04-15","passed","2026-04-15","Performance Tests","performance/performance.spec.ts","",""
"Verify validation error is displayed when submitting empty login form","3341","should display validation for empty fields @minor","webkit","2026-04-15","passed","2026-04-15","Login Tests @smoke","smoke/login.spec.ts","",""
