"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2958","login page should load within threshold","webkit","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","2980","home page should load within threshold","performance","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"Verify that the employee table section is visible after navigation","10345","should display employee section @minor","webkit","2026-04-10","passed","2026-04-10","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"Verify that a user can login with valid admin credentials","4737","should login with valid credentials @critical","chromium","2026-04-10","passed","2026-04-10","Login Tests @smoke","smoke/login.spec.ts","",""
"","259","should verify Leave API endpoint","webkit","2026-04-10","passed","2026-04-10","Leave API Tests","api/employee-api.spec.ts","",""
"","3187","login page should have acceptable navigation timing","webkit","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","1207","should access leave requests endpoint","chromium","2026-04-10","passed","2026-04-10","Leave API Tests","api/employee-api.spec.ts","",""
"Verify error message is shown for invalid login","5499","should handle invalid credentials gracefully @major","firefox","2026-04-10","passed","2026-04-10","Login Tests @smoke","smoke/login.spec.ts","",""
"","4397","Login with Admin should success","firefox","2026-04-10","passed","2026-04-10","","data-driven/login-data-driven.spec.ts","",""
"","2900","login page should have acceptable navigation timing","performance","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","291","API endpoint should respond within threshold","chromium","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"Verify that an admin can navigate to the employee list","6877","should navigate to employee list @smoke @major","chromium","2026-04-10","passed","2026-04-10","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","10027","should display error message on invalid login","webkit","2026-04-10","passed","2026-04-10","Cross-Browser Login Tests","cross-browser/login-cross-browser.spec.ts","",""
"Verify that a user can login with valid admin credentials","8537","should login with valid credentials @critical","webkit","2026-04-10","passed","2026-04-10","Login Tests @smoke","smoke/login.spec.ts","",""
"Verify that the employee table section is visible after navigation","6846","should display employee section @minor","chromium","2026-04-10","passed","2026-04-10","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","1592","should verify Leave API endpoint","chromium","2026-04-10","passed","2026-04-10","Leave API Tests","api/employee-api.spec.ts","",""
"","269","leave API endpoint should respond within threshold","performance","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","6653","Login with test_user should failure","chromium","2026-04-10","passed","2026-04-10","","data-driven/login-data-driven.spec.ts","",""
"Verify that an admin can navigate to the employee list","10644","should navigate to employee list @smoke @major","firefox","2026-04-10","passed","2026-04-10","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","545","multiple API requests should complete within threshold","performance","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","5682","Login with Admin should success","webkit","2026-04-10","passed","2026-04-10","","data-driven/login-data-driven.spec.ts","",""
"","10253","should be on leave section after login","webkit","2026-04-10","passed","2026-04-10","Leave Management Tests with Page Objects","smoke/leave.spec.ts","",""
"","3160","home page should load within threshold","firefox","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"Verify validation error is displayed when submitting empty login form","3761","should display validation for empty fields @minor","firefox","2026-04-10","passed","2026-04-10","Login Tests @smoke","smoke/login.spec.ts","",""
"","5034","Login with test_user should failure","webkit","2026-04-10","passed","2026-04-10","","data-driven/login-data-driven.spec.ts","",""
"","1038","multiple API requests should complete within threshold","chromium","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","2904","login page should load within threshold","performance","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","1460","should verify API is accessible","firefox","2026-04-10","passed","2026-04-10","Employee API Tests","api/employee-api.spec.ts","",""
"","315","should handle invalid employee ID appropriately","webkit","2026-04-10","passed","2026-04-10","Employee API Tests","api/employee-api.spec.ts","",""
"","10256","should be on leave section after login","firefox","2026-04-10","passed","2026-04-10","Leave Management Tests with Page Objects","smoke/leave.spec.ts","",""
"","7448","should display error message on invalid login","firefox","2026-04-10","passed","2026-04-10","Cross-Browser Login Tests","cross-browser/login-cross-browser.spec.ts","",""
"Verify validation error is displayed when submitting empty login form","3573","should display validation for empty fields @minor","chromium","2026-04-10","passed","2026-04-10","Login Tests @smoke","smoke/login.spec.ts","",""
"","6959","Login with Admin should success","chromium","2026-04-10","passed","2026-04-10","","data-driven/login-data-driven.spec.ts","",""
"","453","Example test @smoke","firefox","2026-04-10","passed","2026-04-10","","smoke/example.spec.ts","",""
"","264","leave API endpoint should respond within threshold","webkit","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","7247","should navigate to leave module","chromium","2026-04-10","passed","2026-04-10","Leave Management Tests with Page Objects","smoke/leave.spec.ts","",""
"","278","should access leave requests endpoint","webkit","2026-04-10","passed","2026-04-10","Leave API Tests","api/employee-api.spec.ts","",""
"","1006","should access leave requests endpoint","firefox","2026-04-10","passed","2026-04-10","Leave API Tests","api/employee-api.spec.ts","",""
"","5541","Login with test_user should failure","firefox","2026-04-10","passed","2026-04-10","","data-driven/login-data-driven.spec.ts","",""
"","4995","Login with invalid_user should failure","firefox","2026-04-10","passed","2026-04-10","","data-driven/login-data-driven.spec.ts","",""
"","9803","should login successfully in all browsers","webkit","2026-04-10","passed","2026-04-10","Cross-Browser Login Tests","cross-browser/login-cross-browser.spec.ts","",""
"","587","should verify API is accessible","webkit","2026-04-10","passed","2026-04-10","Employee API Tests","api/employee-api.spec.ts","",""
"","3211","login page should load within threshold","firefox","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","520","multiple API requests should complete within threshold","firefox","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","773","should handle API authentication","firefox","2026-04-10","passed","2026-04-10","Employee API Tests","api/employee-api.spec.ts","",""
"","5056","should login successfully in all browsers","chromium","2026-04-10","passed","2026-04-10","Cross-Browser Login Tests","cross-browser/login-cross-browser.spec.ts","",""
"","585","API endpoint should respond within threshold","performance","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","714","multiple API requests should complete within threshold","webkit","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"Verify that the employee list page loads with the correct URL","9227","should verify employee list page loads @major","firefox","2026-04-10","passed","2026-04-10","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"Verify that a user can login with valid admin credentials","7283","should login with valid credentials @critical","firefox","2026-04-10","passed","2026-04-10","Login Tests @smoke","smoke/login.spec.ts","",""
"Verify that an admin can navigate to the employee list","7528","should navigate to employee list @smoke @major","webkit","2026-04-10","passed","2026-04-10","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","360","API endpoint should respond within threshold","firefox","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","1198","should handle API authentication","chromium","2026-04-10","passed","2026-04-10","Employee API Tests","api/employee-api.spec.ts","",""
"","7793","should be on leave section after login","chromium","2026-04-10","passed","2026-04-10","Leave Management Tests with Page Objects","smoke/leave.spec.ts","",""
"","7444","should login successfully in all browsers","firefox","2026-04-10","passed","2026-04-10","Cross-Browser Login Tests","cross-browser/login-cross-browser.spec.ts","",""
"","653","Example test @smoke","webkit","2026-04-10","passed","2026-04-10","","smoke/example.spec.ts","",""
"","3192","login page should load within threshold","chromium","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"Verify validation error is displayed when submitting empty login form","4391","should display validation for empty fields @minor","webkit","2026-04-10","passed","2026-04-10","Login Tests @smoke","smoke/login.spec.ts","",""
