"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a user can login with valid admin credentials","7262","should login with valid credentials @critical","webkit","2026-04-10","passed","2026-04-10","Login Tests @smoke","smoke/login.spec.ts","",""
"","8729","should be on leave section after login","webkit","2026-04-10","passed","2026-04-10","Leave Management Tests with Page Objects","smoke/leave.spec.ts","",""
"","8840","should navigate to leave module","webkit","2026-04-10","passed","2026-04-10","Leave Management Tests with Page Objects","smoke/leave.spec.ts","",""
"","3859","Login with invalid_user should failure","firefox","2026-04-10","passed","2026-04-10","","data-driven/login-data-driven.spec.ts","",""
"","417","multiple API requests should complete within threshold","webkit","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","228","leave API endpoint should respond within threshold","chromium","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"Verify that a user can login with valid admin credentials","7044","should login with valid credentials @critical","firefox","2026-04-10","passed","2026-04-10","Login Tests @smoke","smoke/login.spec.ts","",""
"","227","should verify Leave API endpoint","chromium","2026-04-10","passed","2026-04-10","Leave API Tests","api/employee-api.spec.ts","",""
"","222","API endpoint should respond within threshold","chromium","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","10501","should be on leave section after login","firefox","2026-04-10","passed","2026-04-10","Leave Management Tests with Page Objects","smoke/leave.spec.ts","",""
"","549","Example test @smoke","webkit","2026-04-10","passed","2026-04-10","","smoke/example.spec.ts","",""
"","220","should verify Leave API endpoint","webkit","2026-04-10","passed","2026-04-10","Leave API Tests","api/employee-api.spec.ts","",""
"","3803","should login successfully in all browsers","chromium","2026-04-10","passed","2026-04-10","Cross-Browser Login Tests","cross-browser/login-cross-browser.spec.ts","",""
"","234","should access leave requests endpoint","chromium","2026-04-10","passed","2026-04-10","Leave API Tests","api/employee-api.spec.ts","",""
"","3771","Login with Admin should success","chromium","2026-04-10","passed","2026-04-10","","data-driven/login-data-driven.spec.ts","",""
"","300","Example test @smoke","chromium","2026-04-10","passed","2026-04-10","","smoke/example.spec.ts","",""
"","444","multiple API requests should complete within threshold","chromium","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","2062","login page should have acceptable navigation timing","chromium","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","226","should handle invalid employee ID appropriately","chromium","2026-04-10","passed","2026-04-10","Employee API Tests","api/employee-api.spec.ts","",""
"","3527","Login with Admin should success","firefox","2026-04-10","passed","2026-04-10","","data-driven/login-data-driven.spec.ts","",""
"","2027","login page should load within threshold","chromium","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"Verify error message is shown for invalid login","3543","should handle invalid credentials gracefully @major","chromium","2026-04-10","passed","2026-04-10","Login Tests @smoke","smoke/login.spec.ts","",""
"Verify that the employee list page loads with the correct URL","8582","should verify employee list page loads @major","firefox","2026-04-10","passed","2026-04-10","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"Verify that the employee table section is visible after navigation","8728","should display employee section @minor","webkit","2026-04-10","passed","2026-04-10","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","8705","should navigate to leave module","firefox","2026-04-10","passed","2026-04-10","Leave Management Tests with Page Objects","smoke/leave.spec.ts","",""
"","9674","should login successfully in all browsers","webkit","2026-04-10","passed","2026-04-10","Cross-Browser Login Tests","cross-browser/login-cross-browser.spec.ts","",""
"Verify that the employee table section is visible after navigation","8258","should display employee section @minor","firefox","2026-04-10","passed","2026-04-10","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","1091","API endpoint should respond within threshold","performance","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","540","should handle API authentication","chromium","2026-04-10","passed","2026-04-10","Employee API Tests","api/employee-api.spec.ts","",""
"","223","should access leave requests endpoint","firefox","2026-04-10","passed","2026-04-10","Leave API Tests","api/employee-api.spec.ts","",""
"","454","should handle API authentication","webkit","2026-04-10","passed","2026-04-10","Employee API Tests","api/employee-api.spec.ts","",""
"","416","Example test @smoke","firefox","2026-04-10","passed","2026-04-10","","smoke/example.spec.ts","",""
"","548","should verify API is accessible","firefox","2026-04-10","passed","2026-04-10","Employee API Tests","api/employee-api.spec.ts","",""
"","4920","should login successfully in all browsers","firefox","2026-04-10","passed","2026-04-10","Cross-Browser Login Tests","cross-browser/login-cross-browser.spec.ts","",""
"","3597","Login with test_user should failure","chromium","2026-04-10","passed","2026-04-10","","data-driven/login-data-driven.spec.ts","",""
"","5279","should display error message on invalid login","firefox","2026-04-10","passed","2026-04-10","Cross-Browser Login Tests","cross-browser/login-cross-browser.spec.ts","",""
"","223","should handle invalid employee ID appropriately","firefox","2026-04-10","passed","2026-04-10","Employee API Tests","api/employee-api.spec.ts","",""
"","2247","login page should load within threshold","firefox","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","246","leave API endpoint should respond within threshold","webkit","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","247","API endpoint should respond within threshold","firefox","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"Verify validation error is displayed when submitting empty login form","3049","should display validation for empty fields @minor","chromium","2026-04-10","passed","2026-04-10","Login Tests @smoke","smoke/login.spec.ts","",""
"Verify error message is shown for invalid login","4943","should handle invalid credentials gracefully @major","firefox","2026-04-10","passed","2026-04-10","Login Tests @smoke","smoke/login.spec.ts","",""
"Verify validation error is displayed when submitting empty login form","3665","should display validation for empty fields @minor","webkit","2026-04-10","passed","2026-04-10","Login Tests @smoke","smoke/login.spec.ts","",""
"Verify that an admin can navigate to the employee list","7908","should navigate to employee list @smoke @major","chromium","2026-04-10","passed","2026-04-10","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","2103","home page should load within threshold","chromium","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","2443","login page should have acceptable navigation timing","performance","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","9279","should display error message on invalid login","webkit","2026-04-10","passed","2026-04-10","Cross-Browser Login Tests","cross-browser/login-cross-browser.spec.ts","",""
"","4389","Login with test_user should failure","firefox","2026-04-10","passed","2026-04-10","","data-driven/login-data-driven.spec.ts","",""
"Verify validation error is displayed when submitting empty login form","3017","should display validation for empty fields @minor","firefox","2026-04-10","passed","2026-04-10","Login Tests @smoke","smoke/login.spec.ts","",""
"Verify that the employee table section is visible after navigation","9801","should display employee section @minor","chromium","2026-04-10","passed","2026-04-10","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"Verify that an admin can navigate to the employee list","8895","should navigate to employee list @smoke @major","firefox","2026-04-10","passed","2026-04-10","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","2552","home page should load within threshold","webkit","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","1997","login page should have acceptable navigation timing","firefox","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","541","should handle API authentication","firefox","2026-04-10","passed","2026-04-10","Employee API Tests","api/employee-api.spec.ts","",""
"","218","leave API endpoint should respond within threshold","firefox","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","406","multiple API requests should complete within threshold","firefox","2026-04-10","passed","2026-04-10","Performance Tests","performance/performance.spec.ts","",""
"","5749","Login with Admin should success","webkit","2026-04-10","passed","2026-04-10","","data-driven/login-data-driven.spec.ts","",""
"","11471","should navigate to leave module","chromium","2026-04-10","passed","2026-04-10","Leave Management Tests with Page Objects","smoke/leave.spec.ts","",""
