"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","should verify employee list page loads @major","firefox","2026-04-09","failed","2026-04-09","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","5","should login with valid credentials @critical","firefox","2026-04-09","failed","2026-04-09","Login Tests @smoke","smoke/login.spec.ts","",""
"","4","login page should load within threshold","firefox","2026-04-09","failed","2026-04-09","Performance Tests","performance/performance.spec.ts","",""
"","2387","home page should load within threshold","chromium","2026-04-09","passed","2026-04-09","Performance Tests","performance/performance.spec.ts","",""
"","296","should verify Leave API endpoint","firefox","2026-04-09","passed","2026-04-09","Leave API Tests","api/employee-api.spec.ts","",""
"","4","home page should load within threshold","firefox","2026-04-09","failed","2026-04-09","Performance Tests","performance/performance.spec.ts","",""
"","447","should handle invalid employee ID appropriately","firefox","2026-04-09","passed","2026-04-09","Employee API Tests","api/employee-api.spec.ts","",""
"","4","should be on leave section after login","webkit","2026-04-09","failed","2026-04-09","Leave Management Tests with Page Objects","smoke/leave.spec.ts","",""
"","896","multiple API requests should complete within threshold","firefox","2026-04-09","passed","2026-04-09","Performance Tests","performance/performance.spec.ts","",""
"","249","should access leave requests endpoint","firefox","2026-04-09","passed","2026-04-09","Leave API Tests","api/employee-api.spec.ts","",""
"","4","should login successfully in all browsers","firefox","2026-04-09","failed","2026-04-09","Cross-Browser Login Tests","cross-browser/login-cross-browser.spec.ts","",""
"","235","should handle invalid employee ID appropriately","webkit","2026-04-09","passed","2026-04-09","Employee API Tests","api/employee-api.spec.ts","",""
"","5","login page should have acceptable navigation timing","firefox","2026-04-09","failed","2026-04-09","Performance Tests","performance/performance.spec.ts","",""
"","5","login page should load within threshold","webkit","2026-04-09","failed","2026-04-09","Performance Tests","performance/performance.spec.ts","",""
"","5","should navigate to employee list @smoke @major","webkit","2026-04-09","failed","2026-04-09","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","5","login page should have acceptable navigation timing","webkit","2026-04-09","failed","2026-04-09","Performance Tests","performance/performance.spec.ts","",""
"","993","multiple API requests should complete within threshold","performance","2026-04-09","passed","2026-04-09","Performance Tests","performance/performance.spec.ts","",""
"","234","should verify Leave API endpoint","webkit","2026-04-09","passed","2026-04-09","Leave API Tests","api/employee-api.spec.ts","",""
"","232","should access leave requests endpoint","chromium","2026-04-09","passed","2026-04-09","Leave API Tests","api/employee-api.spec.ts","",""
"","3406","Login with test_user should failure","chromium","2026-04-09","passed","2026-04-09","","data-driven/login-data-driven.spec.ts","",""
"","3522","Login with invalid_user should failure","chromium","2026-04-09","passed","2026-04-09","","data-driven/login-data-driven.spec.ts","",""
"","4","Login with Admin should success","firefox","2026-04-09","failed","2026-04-09","","data-driven/login-data-driven.spec.ts","",""
"","5","Login with invalid_user should failure","firefox","2026-04-09","failed","2026-04-09","","data-driven/login-data-driven.spec.ts","",""
"","4","should display employee section @minor","webkit","2026-04-09","failed","2026-04-09","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","816","should verify API is accessible","webkit","2026-04-09","passed","2026-04-09","Employee API Tests","api/employee-api.spec.ts","",""
"","5","should display validation for empty fields @minor","webkit","2026-04-09","failed","2026-04-09","Login Tests @smoke","smoke/login.spec.ts","",""
"","4","Login with test_user should failure","firefox","2026-04-09","failed","2026-04-09","","data-driven/login-data-driven.spec.ts","",""
"","6","Login with invalid_user should failure","webkit","2026-04-09","failed","2026-04-09","","data-driven/login-data-driven.spec.ts","",""
"","764","API endpoint should respond within threshold","performance","2026-04-09","passed","2026-04-09","Performance Tests","performance/performance.spec.ts","",""
"","3402","Login with Admin should success","chromium","2026-04-09","passed","2026-04-09","","data-driven/login-data-driven.spec.ts","",""
"Verify that an admin can navigate to the employee list","6594","should navigate to employee list @smoke @major","chromium","2026-04-09","passed","2026-04-09","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","547","multiple API requests should complete within threshold","chromium","2026-04-09","passed","2026-04-09","Performance Tests","performance/performance.spec.ts","",""
"","2078","login page should have acceptable navigation timing","chromium","2026-04-09","passed","2026-04-09","Performance Tests","performance/performance.spec.ts","",""
"","608","API endpoint should respond within threshold","firefox","2026-04-09","passed","2026-04-09","Performance Tests","performance/performance.spec.ts","",""
"","2585","login page should load within threshold","performance","2026-04-09","passed","2026-04-09","Performance Tests","performance/performance.spec.ts","",""
"","5","Example test @smoke","firefox","2026-04-09","failed","2026-04-09","","smoke/example.spec.ts","",""
"","5","Login with Admin should success","webkit","2026-04-09","failed","2026-04-09","","data-driven/login-data-driven.spec.ts","",""
"","5","should display employee section @minor","firefox","2026-04-09","failed","2026-04-09","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","225","should access leave requests endpoint","webkit","2026-04-09","passed","2026-04-09","Leave API Tests","api/employee-api.spec.ts","",""
"","632","API endpoint should respond within threshold","webkit","2026-04-09","passed","2026-04-09","Performance Tests","performance/performance.spec.ts","",""
"","256","should handle invalid employee ID appropriately","chromium","2026-04-09","passed","2026-04-09","Employee API Tests","api/employee-api.spec.ts","",""
"Verify that a user can login with valid admin credentials","10255","should login with valid credentials @critical","chromium","2026-04-09","passed","2026-04-09","Login Tests @smoke","smoke/login.spec.ts","",""
"","14478","should be on leave section after login","chromium","2026-04-09","passed","2026-04-09","Leave Management Tests with Page Objects","smoke/leave.spec.ts","",""
"","5","should be on leave section after login","firefox","2026-04-09","failed","2026-04-09","Leave Management Tests with Page Objects","smoke/leave.spec.ts","",""
"","589","should verify API is accessible","firefox","2026-04-09","passed","2026-04-09","Employee API Tests","api/employee-api.spec.ts","",""
"","237","should verify Leave API endpoint","chromium","2026-04-09","passed","2026-04-09","Leave API Tests","api/employee-api.spec.ts","",""
"","621","should handle API authentication","chromium","2026-04-09","passed","2026-04-09","Employee API Tests","api/employee-api.spec.ts","",""
"","461","multiple API requests should complete within threshold","webkit","2026-04-09","passed","2026-04-09","Performance Tests","performance/performance.spec.ts","",""
"","5","should handle invalid credentials gracefully @major","webkit","2026-04-09","failed","2026-04-09","Login Tests @smoke","smoke/login.spec.ts","",""
"","4","should navigate to leave module","firefox","2026-04-09","failed","2026-04-09","Leave Management Tests with Page Objects","smoke/leave.spec.ts","",""
"","225","leave API endpoint should respond within threshold","chromium","2026-04-09","passed","2026-04-09","Performance Tests","performance/performance.spec.ts","",""
"","5","should display error message on invalid login","webkit","2026-04-09","failed","2026-04-09","Cross-Browser Login Tests","cross-browser/login-cross-browser.spec.ts","",""
"","5","should navigate to employee list @smoke @major","firefox","2026-04-09","failed","2026-04-09","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","236","leave API endpoint should respond within threshold","firefox","2026-04-09","passed","2026-04-09","Performance Tests","performance/performance.spec.ts","",""
"","853","should handle API authentication","webkit","2026-04-09","passed","2026-04-09","Employee API Tests","api/employee-api.spec.ts","",""
"","5","should display error message on invalid login","firefox","2026-04-09","failed","2026-04-09","Cross-Browser Login Tests","cross-browser/login-cross-browser.spec.ts","",""
"","5","Login with test_user should failure","webkit","2026-04-09","failed","2026-04-09","","data-driven/login-data-driven.spec.ts","",""
"","638","should verify API is accessible","chromium","2026-04-09","passed","2026-04-09","Employee API Tests","api/employee-api.spec.ts","",""
"","4","should verify employee list page loads @major","webkit","2026-04-09","failed","2026-04-09","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","5","Example test @smoke","webkit","2026-04-09","failed","2026-04-09","","smoke/example.spec.ts","",""
"","5","should login successfully in all browsers","webkit","2026-04-09","failed","2026-04-09","Cross-Browser Login Tests","cross-browser/login-cross-browser.spec.ts","",""
"Verify that the employee table section is visible after navigation","9933","should display employee section @minor","chromium","2026-04-09","passed","2026-04-09","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","245","leave API endpoint should respond within threshold","performance","2026-04-09","passed","2026-04-09","Performance Tests","performance/performance.spec.ts","",""
"Verify that the employee list page loads with the correct URL","6647","should verify employee list page loads @major","chromium","2026-04-09","passed","2026-04-09","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","2529","login page should have acceptable navigation timing","performance","2026-04-09","passed","2026-04-09","Performance Tests","performance/performance.spec.ts","",""
